"Date and Time of initial call","Date and time of Ranger response","Borough","Property","Location","Species Description","Call Source","Species Status","Animal Condition","Duration of Response","Age","Animal Class","311SR Number","Final Ranger Action","# of Animals","PEP Response","Animal Monitored","Rehabilitator","Hours spent monitoring","Police Response","ESU Response","ACC Intake Number"
"05/02/2018 09:30:00 AM","05/02/2018 12:00:00 PM","Manhattan","Central Park","park sewer drain","Raccoon","Public","Native","Healthy","0.75","Adult","Small Mammals-RVS",,"Unfounded","0",,,,,,"false",
"06/01/2018 12:00:00 PM","06/01/2018 12:30:00 PM","Manhattan","Central Park","park","Raccoon","Employee","Native","Injured","1.25","Juvenile","Small Mammals-RVS","1-1-1568786600","ACC","1","false","false",,,"false","false","36061"
"05/16/2018 09:00:00 AM","05/17/2018 10:10:00 AM","Manhattan","Morningside Park",,"Raccoon","Employee","Native","DOA","1.5","Juvenile","Small Mammals-RVS",,"ACC","2","false","true",,"0.5","false","false","28316"
"05/07/2018 01:30:00 PM","05/07/2018 01:40:00 PM","Manhattan","Central Park","West Dr and 99th Str","Red-tailed Hawk","Employee","Native","DOA","1","Adult","Raptors",,"Submitted for DEC Testing","1","false",,,,,"false",
"06/12/2018 02:00:00 PM","06/12/2018 02:35:00 AM","Manhattan","Central Park",,"Raccoon","Conservancies/""Friends of"" Groups","Native","Injured","2","Juvenile","Small Mammals-RVS","1-11-579641512","ACC","1","false","false",,,"false","false","37529"
"06/11/2018 10:15:00 AM","06/11/2018 10:30:00 AM","Manhattan","Riverside Park",,"Red-tailed Hawk","Public","Native","Injured","2","Juvenile","Raptors","1-11-5729099901","Rehabilitator","1","false","true","Bobby Horvath","2","false","false",
"06/05/2018 12:00:00 AM","06/05/2018 12:01:00 AM","Manhattan","Abingdon Square",,"raccoon","Central","Native","Healthy","0.75","Adult","Small Mammals-RVS",,"Relocated/Condition Corrected","1","false","true",,"1","false","false",
"06/12/2018 05:10:00 PM","06/12/2018 05:15:00 PM","Manhattan","Riverside Park",,"Red-tailed Hawk","Public","Native","Healthy","3.05","Juvenile","Raptors","1-11-575043572","Rehabilitator","1","false","true","Bobby Horvath","0.5","false","false",
"06/17/2018 02:30:00 PM","06/17/2018 03:40:00 PM","Manhattan","Central Park",,"Raccoon","Conservancies/""Friends of"" Groups","Native","Unhealthy","1.5","Adult","Small Mammals-RVS","1-11-576043760","ACC","1","false","false",,,"false","false","31565"
"06/16/2018 02:00:00 PM","06/16/2018 02:30:00 AM","Manhattan","Riverside Park",,"Red-tailed Hawk","Public","Native","Healthy","2.5","Juvenile","Raptors","1-11-572509140","Rehabilitator","1","false","true","Bobby Horvath","1","false","false",
"06/15/2018 02:00:00 PM","06/15/2018 04:30:00 PM","Manhattan","Central Park",,"raccoon","Conservancies/""Friends of"" Groups","Native","Healthy","1.5","Infant","Small Mammals-RVS",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"06/15/2018 02:00:00 PM","06/15/2018 02:52:00 PM","Manhattan","Central Park","park","Double-crested Cormorant","Public","Native","N/A","1.75","Adult","Birds",,"Unfounded","0","false","false",,,"false","false",
